id,tree,target,Cre,source_area,L2/3,L4,L5,L6a,L6b
22,1,ACB,Tac1,ILA,0.032648346,NA,0.943183813,0.024167841,0
107,1,CP_5,Gad2,AId,0.079926005,NA,0.849876724,0.067686242,0.002511029
133,1,CP_6,Gnb4,ORBvl,0.133643428,NA,0.72308361,0.140246814,0.003026149
140,1,CP_7,Penk,ACAd,0.132316991,NA,0.728405103,0.138535581,7.42E-04
69,1,CP_4,Gad2,FRP,0.078654547,NA,0.835668275,0.085599027,7.82E-05
220,1,SNr,Slc32a1,ORBvl,0.050173338,NA,0.887829245,0.057819536,0.004177881
90,1,CP_4,Penk,PL,0.028806345,NA,0.934923722,0.036249825,2.01E-05
139,1,CP_6,Sst,MOs,0.022913379,NA,0.946253574,0.030833047,0
20,1,ACB,Sst,PL,0.059359174,NA,0.881168472,0.056666466,0.002805889
118,1,CP_5,Gad2,PL,0.041464578,NA,0.91571836,0.042412595,4.04E-04
160,1,CP_8,Penk,RSPagl,0.012670995,NA,0.97508386,0.012245145,0
188,1,OT_9,Penk,ORBl,0.123445129,NA,0.720681493,0.133613184,0.022260194
104,1,CP_4,Tac1,PL,0.04210441,NA,0.89982162,0.05751924,5.55E-04
221,1,SNr,Slc32a1,PL,0.00355616,NA,0.97397028,0.021168095,0.001305465
61,1,CP_3,Tac1,ORBvl,0.067336005,NA,0.848217527,0.084446469,0
192,1,OT_9,Penk,PL,0.065057413,NA,0.853587314,0.081159997,1.95E-04
115,1,CP_5,Gad2,ORBm,0.024560468,NA,0.926677507,0.048048542,7.13E-04
186,1,OT_9,Penk,MOp,0.051004249,NA,0.867154424,0.078975886,0.002865441
26,1,CP_1,Gad2,ACAv,0.081436041,NA,0.812041547,0.104644083,0.001878329
54,1,CP_3,Tac1,AId,0.05767511,NA,0.850364559,0.082320652,0.009639679
87,1,CP_4,Penk,ORBl,0.112372018,NA,0.752363841,0.132253973,0.003010167
74,1,CP_4,Gad2,PL,0.018163582,NA,0.936128363,0.045666205,4.18E-05
52,1,CP_2,Pvalb,MOs,0.012526775,NA,0.947810528,0.039662696,0
68,1,CP_4,Gad2,ECT,0.095044708,NA,0.789464377,0.114940032,5.51E-04
57,1,CP_3,Tac1,FRP,0.007350822,NA,0.930041882,0.062607296,0
132,1,CP_6,Gnb4,ORBm,0.017166765,NA,0.912528684,0.07030455,0
135,1,CP_6,Gnb4,PL,0.030469388,NA,0.890361084,0.078559162,6.10E-04
53,1,CP_3,Tac1,ACAd,0.029200423,NA,0.894049487,0.076550011,2.00E-04
178,1,OT_9,Penk,ACAd,0.096302847,NA,0.770277901,0.13331435,1.05E-04
45,1,CP_2,Gad2,ECT,0.028269817,NA,0.900721634,0.071008548,0
50,1,CP_2,Gad2,PL,0.010890151,NA,0.934633433,0.054476416,0
